gap_class,n_samples,mae_lpm,rmse_lpm,household,scenario
large,720,0.09838454432479357,0.11359777492808358,hh-16,Single forward-fill imputation
medium,120,0.5445508279996534,1.1864372302898853,hh-16,Single forward-fill imputation
micro,3,0.03660548746644821,0.04582661177656847,hh-16,Single forward-fill imputation
small,15,0.05970853907689642,0.07549013793682188,hh-16,Single forward-fill imputation
huge,1800,0.4309122742877963,0.8467998343683315,hh-16,Single seasonal-profile imputation
large,720,0.06412529767910245,0.07851506321003342,hh-16,Single seasonal-profile imputation
medium,120,0.6212609953749031,1.146019621141194,hh-16,Single seasonal-profile imputation
micro,3,0.23826592573881258,0.23985572330556842,hh-16,Single seasonal-profile imputation
small,15,0.074660940028135,0.09968986933367718,hh-16,Single seasonal-profile imputation
huge,1800,0.4782006870913094,0.8448035483198605,hh-16,Gap-adaptive imputation
large,720,0.11740665791229923,0.1466885644682824,hh-16,Gap-adaptive imputation
medium,120,0.6212609953749031,1.146019621141194,hh-16,Gap-adaptive imputation
micro,3,0.03660548746644821,0.04582661177656847,hh-16,Gap-adaptive imputation
small,15,0.05966581045982204,0.07568770058600853,hh-16,Gap-adaptive imputation
huge,1800,0.2280429083648694,0.626419959665189,hh-17,Single linear imputation
large,720,0.1117779629718629,0.4886857280249643,hh-17,Single linear imputation
medium,120,0.18503224719359845,0.65209576438794,hh-17,Single linear imputation
micro,3,0.0475460433026909,0.04935670514496028,hh-17,Single linear imputation
small,15,0.07044045209099771,0.08839615384638318,hh-17,Single linear imputation
huge,1800,0.24320271839611624,0.6164357890079138,hh-17,Single forward-fill imputation
large,720,0.1117779629718629,0.4886857280249643,hh-17,Single forward-fill imputation
medium,120,0.18606313292737925,0.653836217019132,hh-17,Single forward-fill imputation
micro,3,0.026556187608380844,0.045996666193046654,hh-17,Single forward-fill imputation
small,15,0.10055633416281705,0.11262918955928912,hh-17,Single forward-fill imputation
huge,1800,0.21866456705957957,0.6313453268941345,hh-17,Single seasonal-profile imputation
large,720,0.12271928737151738,0.47947410917174726,hh-17,Single seasonal-profile imputation
medium,120,0.18806963011823985,0.6424000274442576,hh-17,Single seasonal-profile imputation
micro,3,0.04879822341282003,0.05499167807694258,hh-17,Single seasonal-profile imputation
small,15,0.1800141352768743,0.19513912289199842,hh-17,Single seasonal-profile imputation
huge,1800,0.2801921150122274,0.6036787454696781,hh-17,Gap-adaptive imputation
large,720,0.23588889443640343,0.4942711106508674,hh-17,Gap-adaptive imputation
medium,120,0.18806963011823985,0.6424000274442576,hh-17,Gap-adaptive imputation
micro,3,0.0475460433026909,0.04935670514496028,hh-17,Gap-adaptive imputation
small,15,0.07044045209099771,0.08839615384638318,hh-17,Gap-adaptive imputation
